method,num_queries,recall@1,precision@1,recall@2,precision@2,recall@5,precision@5,recall@10,precision@10,recall@100,precision@100,mrr,map,corpus_size,index_time_sec,index_size_mb,device,embedding_dim,index_factory,chunk_size,avg_rerank_latency_sec
bm25,100,0.55,0.55,0.74,0.74,1.0,1.0,1.0,1.0,1.0,1.0,0.7191666666666666,0.7191666666666666,500,0.009723186492919922,0.057811737060546875,GPU,,,,
dense_faiss,100,0.01,0.01,0.02,0.02,0.04,0.04,0.06,0.06,0.35,0.35,0.032538946291533505,0.032538946291533505,500,0.0004248619079589844,0.732421875,GPU,384.0,Flat,,
multi_vector,100,0.02,0.02,0.04,0.04,0.19,0.19,0.31,0.31,0.7,0.7,0.09591523943945049,0.09591523943945049,500,0.0006067752838134766,2.9296875,GPU,,,8.0,
dense_cross_rerank,100,0.06,0.06,0.06,0.06,0.09,0.09,0.13,0.13,0.35,0.35,0.079017373099663,0.079017373099663,500,,,GPU,,,,0.13699365854263307
bm25,100,0.5,0.5,0.75,0.75,0.98,0.98,1.0,1.0,1.0,1.0,0.6936666666666667,0.6936666666666667,1000,0.018627643585205078,0.11550521850585938,GPU,,,,
dense_faiss,100,0.02,0.02,0.03,0.03,0.05,0.05,0.05,0.05,0.13,0.13,0.03474001875317665,0.03474001875317665,1000,0.0006158351898193359,1.46484375,GPU,384.0,Flat,,
multi_vector,100,0.03,0.03,0.1,0.1,0.18,0.18,0.23,0.23,0.44,0.44,0.09960208544225754,0.09960208544225754,1000,0.0013833045959472656,5.859375,GPU,,,8.0,
dense_cross_rerank,100,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.13,0.13,0.04039614156780814,0.04039614156780814,1000,,,GPU,,,,0.17922500848770143
bm25,100,0.93,0.93,0.98,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.9616666666666666,0.9616666666666666,5000,0.06919598579406738,0.5779838562011719,GPU,,,,
dense_faiss,100,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.05,0.05,0.005360724041136412,0.005360724041136412,5000,0.0012903213500976562,7.32421875,GPU,384.0,Flat,,
multi_vector,100,0.02,0.02,0.07,0.07,0.11,0.11,0.14,0.14,0.29,0.29,0.06643031839922188,0.06643031839922188,5000,0.02208256721496582,29.296875,GPU,,,8.0,
dense_cross_rerank,100,0.01,0.01,0.01,0.01,0.03,0.03,0.03,0.03,0.05,0.05,0.015569908814589663,0.015569908814589663,5000,,,GPU,,,,0.14581366300582885
bm25,100,0.83,0.83,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.9133333333333333,0.9133333333333333,10000,0.13577628135681152,1.1557807922363281,GPU,,,,
dense_faiss,100,0.0,0.0,0.01,0.01,0.02,0.02,0.02,0.02,0.06,0.06,0.009931625781625781,0.009931625781625781,10000,0.004030466079711914,14.6484375,GPU,384.0,Flat,,
multi_vector,100,0.02,0.02,0.04,0.04,0.05,0.05,0.1,0.1,0.22,0.22,0.04336699797116464,0.04336699797116464,10000,0.047554731369018555,58.59375,GPU,,,8.0,
dense_cross_rerank,100,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.03,0.06,0.06,0.006036647992530345,0.006036647992530345,10000,,,GPU,,,,0.17221628189086913
bm25,100,0.58,0.58,0.81,0.81,1.0,1.0,1.0,1.0,1.0,1.0,0.752,0.752,50000,0.6617116928100586,5.779293060302734,GPU,,,,
dense_faiss,100,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.005768115942028985,0.005768115942028985,50000,5.191736459732056,73.2421875,GPU,384.0,"IVF1024,Flat",,
multi_vector,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0008327166099281133,0.0008327166099281133,50000,16.671342372894287,292.96875,GPU,,,8.0,
dense_cross_rerank,100,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.015434782608695652,0.015434782608695652,50000,,,GPU,,,,0.14179737091064454
bm25,100,0.28,0.28,0.45,0.45,0.93,0.93,1.0,1.0,1.0,1.0,0.5127142857142857,0.5127142857142857,100000,2.5277209281921387,11.559150695800781,GPU,,,,
dense_faiss,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000,32.355623960494995,146.484375,GPU,384.0,"IVF4096,Flat",,
multi_vector,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.002155832106490001,0.002155832106490001,100000,169.8936150074005,585.9375,GPU,,,8.0,
dense_cross_rerank,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000,,,GPU,,,,0.1452486777305603
